[00:01.84 : ( 0.5, -0.7)]
[02:03.05 : (-0.9,  0.6)]
[02:03.80 : (-0.1, -0.8)]
[02:04.27 : (-0.2,  0.7)]
[02:04.74 : ( 0.0,  0.4)]
[02:05.19 : (-0.5,  0.6)]
[02:05.66 : (-0.8, -0.6)]
[02:06.12 : (-0.7,  0.8)]
[02:06.70 : ( 0.4,  0.9)]
[02:07.16 : (-0.7, -1.0)]
[02:07.63 : (-0.9, -1.0)]
[02:07.97 : ( 0.6, -0.8)]
[02:08.44 : (-0.8, -0.1)]
[02:08.91 : ( 0.3,  0.2)]
[02:09.36 : (-0.3,  0.1)]
[02:09.82 : (-0.7,  0.3)]
[02:10.28 : ( 0.2, -0.5)]
[02:10.75 : (-0.4,  0.4)]
[02:11.21 : (-0.8, -0.4)]
[02:11.68 : (-0.3, -0.4)]
[02:12.15 : ( 0.6, -0.1)]
[02:12.60 : ( 0.2, -0.2)]
[02:13.06 : (-0.9,  0.1)]
[02:13.52 : (-0.8,  0.6)]
[02:13.97 : ( 0.7, -0.1)]
[02:14.44 : (-0.8, -0.4)]
[02:14.92 : (-0.5, -0.3)]
[02:15.49 : ( 0.6,  0.6)]
[02:15.96 : (-0.9,  0.9)]
[02:16.43 : ( 0.4,  0.7)]
[02:16.89 : ( 0.3, -0.5)]
[02:17.36 : (-0.8, -0.4)]
[02:17.83 : ( 0.6,  0.8)]
[02:18.30 : ( 0.7,  0.3)]
[02:18.77 : ( 0.3,  0.4)]
[02:19.24 : (-0.2,  0.6)]
[02:19.70 : ( 0.4, -0.6)]
[02:20.17 : ( 0.5,  0.3)]
[02:20.64 : (-0.2, -0.2)]
[02:21.11 : (-0.5,  0.2)]
[02:21.57 : (-0.8,  0.6)]
[02:22.04 : ( 0.4, -0.7)]
[02:22.51 : (-0.2, -0.3)]
[02:22.97 : (-0.4,  0.1)]
[02:23.44 : (-0.1,  0.8)]
[02:23.91 : (-0.8,  0.9)]
[02:24.37 : ( 0.2, -0.7)]
[02:24.84 : ( 0.2, -0.4)]
[02:25.31 : ( 0.1,  0.6)]
[02:25.82 : (-0.8,  0.2)]
[02:26.29 : ( 0.8, -0.8)]
[02:26.76 : (-0.5,  0.0)]
[02:27.21 : (-0.9,  0.2)]
[02:27.68 : ( 0.3,  1.0)]
[02:28.15 : ( 0.4, -0.2)]
[02:28.62 : ( 0.1, -0.1)]
[02:29.08 : ( 0.3,  0.9)]
[02:29.55 : (-0.8,  0.2)]
[02:30.02 : (-0.8, -0.7)]
[02:30.42 : ( 0.4, -0.5)]
[02:30.89 : ( 0.2, -0.7)]
[02:31.37 : ( 0.9, -0.3)]
[02:31.86 : ( 0.4, -0.4)]
[02:32.33 : ( 0.5,  0.4)]
[02:32.81 : ( 0.1,  0.3)]
[02:33.31 : (-0.1,  0.1)]
[02:33.78 : ( 0.5,  0.7)]
[02:34.26 : ( 0.4, -0.6)]
[02:34.76 : ( 0.2,  0.5)]
[02:35.24 : (-0.2, -0.6)]
[02:35.71 : (-0.3,  0.0)]
[02:36.21 : ( 0.0,  0.5)]
[02:36.69 : ( 0.8,  0.8)]
[02:37.16 : (-0.9, -0.9)]
[02:37.66 : (-0.4, -0.5)]
[02:38.14 : (-0.3,  0.1)]
[02:38.61 : ( 0.8,  0.6)]
[02:39.12 : (-0.3,  0.4)]
[02:39.59 : (-0.8, -0.5)]
[02:40.07 : (-0.7, -0.4)]
[02:40.57 : ( 0.4, -0.3)]
[02:41.04 : ( 0.1,  0.1)]
[02:41.52 : (-0.1,  0.7)]
[02:42.02 : (-0.9,  0.5)]
[02:42.49 : ( 0.1,  0.7)]
[02:42.97 : (-0.1,  0.6)]
[02:43.45 : ( 0.2, -0.9)]
[02:43.91 : (-0.1,  0.6)]
[02:44.39 : (-0.2, -0.5)]
[02:44.86 : (-0.3, -0.8)]
[02:45.41 : ( 0.2,  0.7)]
[02:45.88 : (-0.0,  0.8)]
[02:46.36 : (-0.8,  0.0)]
[02:46.86 : ( 0.4, -0.0)]
[02:47.33 : (-0.7,  0.8)]
[02:47.81 : ( 0.3,  0.5)]
[02:48.31 : (-0.0, -0.2)]
[02:48.78 : ( 0.4, -0.2)]
[02:49.26 : (-0.8,  0.6)]
[02:49.76 : ( 0.6, -0.7)]
[02:50.24 : ( 0.2,  0.4)]
[02:50.71 : ( 0.5, -0.6)]
[02:51.21 : ( 0.4, -0.4)]
[02:51.69 : (-0.8,  0.7)]
[02:52.17 : (-0.4, -0.1)]
[02:52.66 : (-0.5, -0.9)]
[02:53.14 : ( 0.6,  0.3)]
[02:53.62 : ( 0.9, -1.0)]
[02:54.12 : ( 0.1,  0.5)]
[02:54.59 : ( 0.0,  0.1)]
[02:55.07 : ( 0.3, -0.8)]
[02:55.57 : (-0.3,  0.9)]
[02:56.05 : (-0.8,  0.8)]
[02:56.52 : ( 0.1,  0.4)]
[02:57.02 : (-0.9,  0.2)]
[02:57.49 : (-0.6,  0.3)]
[02:57.97 : (-0.5, -0.0)]
[02:58.47 : (-0.1,  1.0)]
[02:58.94 : (-0.7,  0.7)]
[02:59.42 : ( 0.8,  0.8)]
[02:59.88 : ( 0.3,  0.2)]
[03:00.36 : ( 0.7, -0.4)]
[03:00.83 : ( 0.9, -0.5)]
[03:01.29 : ( 0.8,  1.0)]
[03:01.77 : (-0.7,  0.9)]
[03:02.24 : (-0.4,  0.3)]
[03:02.72 : ( 0.2, -0.6)]
[03:03.18 : (-0.0, -0.6)]
[03:03.65 : ( 0.5,  0.4)]
[03:04.12 : ( 0.3,  0.0)]
[03:04.65 : ( 0.1, -0.9)]
[03:05.11 : (-0.6, -0.9)]
[03:05.58 : (-0.3,  0.4)]
[03:06.04 : ( 0.0, -0.2)]
[03:06.50 : ( 0.9, -0.9)]
[03:06.97 : (-0.9, -0.4)]
[03:07.42 : (-0.7,  0.9)]
[03:07.89 : ( 0.7, -0.4)]
[03:08.36 : ( 0.1, -0.2)]
[03:09.01 : (-0.3,  0.9)]
[03:09.48 : (-1.0, -0.1)]
[03:09.95 : (-0.4, -0.5)]
[03:10.41 : ( 0.5, -0.9)]
[03:10.88 : ( 0.8,  0.2)]
[03:11.35 : ( 0.3,  0.8)]
[03:11.80 : ( 0.2, -0.1)]
[03:12.27 : ( 0.9,  0.3)]
[03:12.74 : (-0.7, -1.0)]
[03:13.19 : (-0.7, -1.0)]
[03:13.66 : (-0.3,  0.4)]
[03:14.12 : (-0.1, -0.4)]
[03:14.59 : (-0.7, -0.4)]
[03:15.04 : (-0.5, -0.4)]
[03:15.51 : ( 0.2,  0.2)]
[03:15.97 : (-0.1,  0.6)]
[03:16.37 : (-0.5, -0.7)]
[03:16.84 : (-0.8, -0.5)]
[03:17.30 : ( 0.5,  0.6)]
[03:17.83 : (-0.5,  0.1)]
[03:18.30 : ( 0.4,  0.1)]
[03:18.77 : ( 0.2,  0.6)]
[03:19.28 : ( 0.9, -0.8)]
[03:19.75 : (-0.2,  0.1)]
[03:20.23 : ( 0.3, -0.7)]
[03:20.73 : ( 0.5, -0.9)]
[03:21.21 : (-0.6,  0.9)]
[03:21.68 : (-0.1, -0.9)]
[03:22.18 : (-0.6,  0.9)]
[03:22.66 : (-0.2,  0.3)]
[03:23.13 : ( 0.1, -0.2)]
[03:23.63 : ( 0.8,  0.2)]
[03:24.10 : (-0.5, -0.8)]
[03:24.58 : (-0.3, -0.6)]
[03:25.05 : (-0.6, -0.0)]
[03:25.52 : (-0.9,  0.5)]
[03:25.99 : ( 0.5,  0.7)]
[03:26.47 : (-0.2, -0.7)]
[03:26.93 : (-0.5,  0.6)]
[03:27.40 : ( 0.2, -0.3)]
[03:27.87 : (-0.7, -0.8)]
[03:28.33 : ( 0.7,  0.7)]
[03:28.80 : ( 0.1,  0.5)]
[03:29.27 : ( 0.2, -0.3)]
[03:29.72 : ( 0.8, -0.4)]
[03:30.19 : ( 0.5, -0.7)]
[03:30.65 : (-0.7, -0.3)]
[03:31.37 : (-0.3,  0.0)]
[03:31.83 : (-0.3, -0.7)]
[03:32.30 : ( 0.2,  0.5)]
[03:32.83 : ( 0.5,  0.5)]
[03:33.30 : ( 0.9,  0.5)]
[03:33.78 : (-0.4, -0.1)]
[03:34.28 : ( 0.8, -0.7)]
[03:34.76 : (-0.3,  0.7)]
[03:35.23 : (-0.9, -0.3)]
[03:35.73 : (-0.4,  0.6)]
[03:36.21 : ( 0.1, -0.4)]
[03:36.68 : (-0.3, -0.6)]
[03:37.19 : (-0.2, -0.8)]
[03:37.66 : (-0.9,  0.3)]
[03:38.14 : ( 0.6, -0.1)]
[03:38.64 : ( 1.0,  0.7)]
[03:39.11 : (-0.7,  0.9)]
[03:39.59 : ( 0.4,  0.2)]
[03:40.09 : ( 0.5,  0.9)]
[03:40.56 : (-0.3,  0.1)]
[03:41.04 : (-0.9, -0.7)]
[03:41.54 : (-1.0,  0.9)]
[03:42.02 : ( 0.6,  0.7)]
[03:42.49 : ( 0.7, -0.9)]
[03:42.99 : (-0.9, -0.9)]
[03:43.47 : (-0.9,  0.4)]
[03:43.94 : ( 0.1,  0.7)]
[03:44.44 : ( 0.1,  0.9)]
[03:44.92 : (-0.5, -1.0)]
[03:45.39 : (-0.9,  0.6)]
[03:45.87 : ( 0.9, -0.9)]
[03:46.33 : (-0.7, -0.2)]
[03:46.81 : ( 0.4, -1.0)]
[03:47.28 : (-0.7, -0.7)]
[03:47.82 : (-0.2, -0.9)]
[03:48.30 : ( 0.4,  0.2)]
[03:48.77 : ( 0.3,  0.8)]
[03:49.28 : (-0.1, -0.1)]
[03:49.76 : (-1.0,  0.9)]
[03:50.23 : ( 0.6,  0.5)]
[03:50.73 : ( 0.9, -0.5)]
[03:51.21 : (-0.6, -0.3)]
[03:51.68 : (-0.2,  0.4)]
[03:52.19 : (-0.3,  0.6)]
[03:52.66 : ( 0.3, -0.9)]
[03:53.14 : ( 0.8,  0.3)]
[03:53.64 : (-0.5, -0.0)]
[03:54.11 : (-0.3, -0.6)]
[03:54.59 : ( 0.6, -0.0)]
[03:55.09 : ( 0.3, -0.9)]
[03:55.56 : (-0.8, -0.6)]
[03:56.04 : (-0.6,  0.1)]
[03:56.54 : ( 0.8, -0.9)]
[03:57.02 : (-0.6,  0.5)]
[03:57.49 : ( 0.6,  0.6)]
[03:57.99 : ( 0.7,  0.8)]
[03:58.47 : (-0.1,  0.7)]
[03:58.94 : ( 0.1, -0.2)]
[03:59.40 : ( 0.6, -0.0)]
[03:59.88 : ( 0.2, -0.6)]
[04:00.35 : ( 0.9, -0.5)]
[04:00.81 : ( 0.7, -1.0)]
[04:01.29 : (-0.6,  0.7)]
[04:01.76 : (-0.2, -0.4)]
[04:02.22 : ( 0.1,  0.0)]
[04:02.69 : (-0.0,  0.8)]
[04:03.16 : (-0.0, -0.0)]
[04:03.63 : ( 0.3, -0.8)]
[04:04.09 : ( 0.7,  0.8)]
[04:04.56 : (-0.6,  0.9)]
